QUEST_20150317_000001	Por favor selecciona al usuario que necesita una actualización de misión.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM	
QUEST_20200128_011425	Más bien arruina mis planes.	오히려 내 계획에 차질이 생길지도 모르지.				마신 라가나	
QUEST_20200128_011426	Las diosas no están de nuestro lado, mientras que Ausrine y todos los demás lo favorecen.	여신을 적으로 둔 우리에 반해 저 인간은 아우슈리네를 비롯해 여신들의 은총을 받고 있다.				주시자	
QUEST_20200128_011427	¿No ves lo fácil que podría ser para él hacer el trabajo en lugar de nosotros?	그렇다면 저 인간이 일을 처리해주는 게 우리에게는 더 편한 일이지 않겠나?				주시자	
QUEST_20200128_011428	No entiendo.{nl}Expectativas de un humano...	도저히 이해할 수가 없군.{nl}어쩌다 나약한 인간 따위에게 기대를 걸어야 하는 일이 생긴 건지..				마신 라가나	
QUEST_20200128_011429	Neringa.{nl}Admiro tus esfuerzos por llegar aquí.{nl}Me pregunto cómo Laima previó esto.	네링가.{nl}이 자리를 위해 감수한 위험을 생각하면 새삼 감탄스럽구나.{nl}모든 게 라이마의 예지대로 흘러갔나?				주시자	
QUEST_20200128_011430	Estabas protegido gracias al poder del Santo Namott como había profetizado la Diosa Laima.	라이마 여신께서 예지하신 대로 당신은 신성한 나모트에서 얻은 힘 덕분에 무사할 수 있었습니다.				네링가	
QUEST_20200128_011431	Todavía hay demonios de Ragana por ahí.	이곳에는 아직 라가나의 마족들이 남아 있습니다.				네링가	
QUEST_20200128_011432	Sígueme de regreso a Orsha por ahora.{nl}Ven a buscarme a Orsha cuando llegues.	당신은 일단 저 네링가를 따라 오르샤로 돌아가야 합니다.{nl}오르샤에서 저 네링가를 찾아오십시오.				네링가	
QUEST_20200128_011433	He hecho exactamente lo que me pidió la Diosa Laima.	저 네링가는 이번 일에 대해 라이마 여신께서 예지해주신 대로 움직였습니다.				네링가	
QUEST_20200128_011434	Puede que no te des cuenta ahora, pero tu encuentro con el Espectador y Ragana será beneficioso en el futuro.	당신과 주시자, 라가나가 한 자리에서 만난 일은 당장 있을 앞으로의 일에 있어 이점으로 작용할 것입니다.{nl}				네링가	
QUEST_20200128_011435	Lo hiciste bien a pesar de las dificultades.{nl}Ahora debes volver a actuar para poder cumplir tu destino.	당황스러운 일이었을 테지만 잘 해냈습니다.{nl}당신은 이제 당신의 사명을 위해 다시 움직이십시오.				네링가	
QUEST_20200128_011436	dama nerviosa	불안해하는 여성					
QUEST_20200128_011437	¿Has visto a una persona vestida de negro con cabello blanco? {nl}Oh... debo encontrar... a mi nena...	혹시.. 이 주변에서 검은 옷에 흰 머리, 창백한 피부를 한 사람을 본 적 있으신가요?{nl} 흑흑.. 그 사람을 꼭 찾아야만 해요.. 흑흑, 우리 아가..				불안해하는 여성	
QUEST_20200128_011438	Estoy aquí por otra razón.{nl}Dicen que vieron a la persona de pelo blanco.{nl}	아.. 저는 저기 있는 사람들과 다른 이유로 이곳에 왔어요..{nl}저 사람들에게서 검은 옷에 흰 머리, 창백한 피부를 가진 사람을 본 적이 있다고 해서요..{nl}				불안해하는 여성	
QUEST_20200128_011439	Debo encontrar a la persona. Debo y lo haré...{nl}Lo siento, mi bebé...	저는 그 사람을 꼭 찾아야해요.. 꼭.. 꼭.. 찾아야해요..{nl}흑흑.. 우리 아가.. 우리 아가..				불안해하는 여성	
QUEST_20200128_011440	Sí...? ¿Tienes algo para mí?{nl}Mis disculpas, no puedo aceptar nada por ahora.{nl}	네..? 저에게 주실 게 있다고요?{nl}죄송하지만 지금은 뭐든 사양입니다..{nl}				불안해하는 여성	
QUEST_20200128_011441	¡El... el collar...! ¿Dónde lo encontraste? {nl} ¿De dónde sacaste esto?	이, 이 목걸이는..! 이거, 어디서 나셨나요?{nl}이걸 어디서 찾아내셨나요?				불안해하는 여성	
QUEST_20200128_011442	Este collar se lo dio su padre a la joven Nebulas. {nl}Ella había mantenido el collar con ella desde que su padre falleció en un accidente.{nl}	흑흑.. 이 목걸이는 네뷸라스가 어릴 때 네뷸라스의 아버지가 직접 만들어준 목걸이에요.{nl}아이의 아버지가 사고로 일찍이 여신의 곁으로 떠나면서 네뷸라스는 항상 이 목걸이를 지니고 다녔죠.{nl}				불안해하는 여성	
QUEST_20200128_011443	No sabía que Nebulas se había convertido en un demonio... {nl}Será mejor que vaya yo mismo a Kalejimas.	그런데.. 네뷸라스가 마족처럼 변해있었다니..{nl}안되겠어요. 아무래도 칼레이마스로 직접 가봐야겠어요.{nl}				불안해하는 여성	
QUEST_20200128_011444	Gracias por el collar.	그리고 목걸이를 가져다주셔서 정말 감사드립니다.				불안해하는 여성	
QUEST_20200128_011445	hombre nervioso	걱정하는 남성					
QUEST_20200128_011446	Ah… ya han pasado días… {nl}No lo creo pero… ¿has visto a una persona vestida de negro con cabello blanco?	하아.. 벌써 며칠을 매일같이 실낱같은 희망을 잡고서 이곳에 오지만.. 매번..{nl}혹시 당신은 검은 옷에 흰머리, 창백한 피부의 사람을 본 적이 있나요?{nl}				걱정하는 남성	
QUEST_20200128_011447	¿Me dirás si ves a alguien así?	혹시 보셨다면 제게 알려주시겠어요?				걱정하는 남성	
QUEST_20200128_011448	Supongo que el rumor de que el agua se ha contaminado es real.{nl}Mi hermana y yo estábamos bastante ocupados pensando en eso.	요즘 수원지에서 물이 오염됐다는 소문이 사실인가 보군요.{nl}저와 제 누나는 다른 일 때문에 그런 걸 신경 쓸 겨를도 없었네요..{nl}				걱정하는 남성	
QUEST_20200128_011449	¿Has visto a una persona vestida de negro con cabello blanco? {nl}Por favor, dime si has visto u oído algo sobre la persona.	혹시, 검은 옷을 입고 흰 머리에 창백한 피부를 띤 사람을 주변에서 본 적 있으십니까?{nl}지푸라기라도 잡는 심정입니다.. 혹시, 보시거든 꼭 말씀 좀 부탁드리겠습니다.				걱정하는 남성	
QUEST_20200128_011450	¿Qué es esto?{nl}No... No, gracias. Se lo agradezco pero...	저에게 주실 게 있다고요?{nl}선물이라면 됐습니다. 그런 걸 받을 기분이 아닙니다.{nl}				걱정하는 남성	
QUEST_20200128_011451	¡Ah... ay! ¿De dónde sacaste esto? {nl} Muchas gracias.	아, 아니.. 이건..? 저, 저기! 이거 어디서 찾으신 겁니까?{nl}이걸 대체 어디서.. 하, 하아.. 흑흑…				걱정하는 남성	
QUEST_20200128_011452	Nebulas solía llevar este collar a todas partes.{nl}Ella había mantenido el collar con ella desde que su padre falleció en un accidente.{nl}	이 목걸이는 네뷸라스가 항상 목에 걸고 다니던 목걸이입니다.{nl}아이의 아버지가 사고로 일찍이 네뷸라스의 곁을 떠나면서.. 네뷸라스는 이 목걸이를 항상 지니고 다녔죠.{nl}				걱정하는 남성	
QUEST_20200128_011453	Nebulas ahora es un demonio...{nl}Quizás necesite ir a Kalejimas con mi hermana.{nl}	네뷸라스가 마족처럼 변해 있었다니..{nl}아무래도 저와 제 누나는 칼레이마스로 직접 가볼 생각입니다.{nl}				걱정하는 남성	
QUEST_20200128_011454	Encontraré una manera de purificar las nebulosas.	네뷸라스를 되돌려 놓을 방법을 꼭 찾겠습니다.				걱정하는 남성	
QUEST_20200128_011455	Muchas gracias. Has venido aquí para dármelo.{nl}Buscaremos Nebulosas una vez que Kalejimas se convierta en un lugar seguro.{nl}	목걸이를 전해주려고 직접 찾아와 주셔서 정말 감사합니다..{nl}저희는 칼레이마스가 안전해지면 직접 가서 네뷸라스를 찾아볼게요.{nl}				불안해하는 여성	
QUEST_20200128_011456	Debería haber gente que nos ayudara.{nl}Mi bebé... Mamá te extraña.	도와줄 사람들이 있을 거예요.{nl}우리 아가.. 엄마가 꼭 낫게 해줄게..				불안해하는 여성	
QUEST_20200128_011457	Te estoy muy agradecido.{nl}Nosotros mismos nos dirigiremos a Kalejimas.{nl}	목걸이를 찾아주신 일은 정말 감사히 생각하고 있습니다.{nl}저희는 칼레이마스로 직접 가보려고 합니다.{nl}				걱정하는 남성	
QUEST_20200128_011458	Quizás necesitemos más gente que nos acompañe. Es un lugar peligroso.{nl}Nunca nos rendiremos con ella.	하지만 너무 위험해서 도와줄 사람들을 찾고 있습니다. {nl}절대로 그 아이를 포기하지 않을 겁니다.				걱정하는 남성	
QUEST_20200128_011459	Quizás sea mejor ahorrarme el aliento.	더 이상은 말하지 않는 게 나을 듯 하다.				PC	
QUEST_20200128_011460	No sabemos por qué Baiga ha tomado la raíz del Árbol Divino. {nl}Debemos recuperar la raíz antes de que sea demasiado tarde.	바이가가 무슨 생각으로 신수의 뿌리를 가져갔는지 모르겠습니다.{nl}서둘러서 그를 찾지 않으면 큰 위협이 될 겁니다.				여신 아우스테야	
QUEST_20200128_011461	Por suerte para nosotros, la raíz ha dejado rastros por lo que podremos rastrearla.	다행히 신수의 뿌리가 가진 기운이 그 흔적을 남겨두어서 추적이 가능할 것 같습니다.				여신 아우스테야	
QUEST_20200128_011462	Como ya sabes, Baiga es un demonio astuto. {nl} Él hace que elijamos tomar el camino que sea más beneficioso para él. {nl} Debemos tener cuidado.	겪어보셨겠지만 바이가는 치밀한 마왕입니다.{nl}우리의 상황을 이용해 자신이 원하는 선택을 할 수밖에 없도록 하죠.{nl}신중하게 행동할 필요가 있습니다.				여신 아우스테야	
QUEST_20200128_011463	Diosa Austeja, hay algo que debemos hacer aquí.{nl}	아우스테야 여신이시여, 계시자는 저 네링가와 함께 여기서 해야 할 일이 있습니다.{nl}				네링가	
QUEST_20200128_011464	Siento la rueda, un utensilio sagrado para la Diosa Laima.{nl}Revelator necesitará la rueca para la lucha contra Giltine.	저 네링가에게 이곳에서 라이마 여신의 성구인 물레의 기운이 느껴집니다.{nl}계시자는 길티네와의 싸움에서 물레가 필요합니다.				네링가	
QUEST_20200128_011465	Si tú lo dices, Neringa, es algo que Laima profetizó.{nl}	네링가, 그대의 말이라면 곧 라이마의 예언이겠지요.{nl}				여신 아우스테야	
QUEST_20200128_011466	Entiendo.{nl}LLa rueda de Laima debe ser de gran ayuda para el Revelador.	이해했습니다.{nl}분명 라이마의 물레라면 계시자님의 싸움에 큰 보탬이 될 겁니다.				여신 아우스테야	
QUEST_20200128_011467	Tienes razón.{nl}Encontrar la rueda es importante para completar la profecía de la Diosa Laima.	맞습니다.{nl}여기서 물레를 찾는 것이 라이마 여신의 예지를 완성하는 데 가장 중요한 일이 될 겁니다.				네링가	
QUEST_20200128_011468	Bien.{nl}Ravelator, ven con Neringa. Iré tras Baiga.	알겠습니다.{nl}그렇다면 계시자님께서는 네링가와 함께 하도록 하세요.{nl}그동안 저는 바이가를 뒤쫓겠습니다.{nl}				여신 아우스테야	
QUEST_20200128_011469	Volveré si te pasa algo.	혹시라도 계시자님의 신변에 문제가 생긴다면 반드시 돌아오겠습니다.				여신 아우스테야	
QUEST_20200128_011470	Tú y yo deberíamos buscar el utensilio sagrado para la Diosa Laima aquí.{nl}	그럼 당신은 저 네링가와 함께 이곳에서 라이마 여신의 성구인 물레를 찾아야 합니다.{nl}				네링가	
QUEST_20200128_011471	Primero, despejemos el camino.	먼저, 당신의 앞을 막아서는 몬스터들을 처리하십시오.				네링가	
QUEST_20200128_011472	La profecía de la Diosa Laima nos está guiando.{nl}No tienes que preocuparte.	라이마 여신의 예언은 착실히 이행되고 있습니다.{nl}당신은 걱정할 필요 없습니다.				네링가	
QUEST_20200128_011473	La rueca oculta su presencia para protegerse.{nl}No podrás sentirla ahora, pero puedo sentir su energía desde lejos.{nl}	물레는 자신을 지키기 위해 자신의 존재를 숨기고 있습니다.{nl}가까이 가지 않는다면 절대 눈치채지 못하겠지만, 저 네링가는 멀리서도 그 힘을 느낄 수 있습니다.{nl}				네링가	
QUEST_20200128_011474	La rueca está en un lugar olvidado.{nl}La rueca se te revelará cuando te acerques, ya que eres el elegido por la Diosa Laima.{nl}	물레는 잊혀진 장소에 있습니다.{nl}라이마의 선택을 받은 당신이 접근한다면 물레는 분명 자신의 모습을 당신에게 보여줄 겁니다.{nl}				네링가	
QUEST_20200128_011475	¿Estás listo?	마음의 준비가 되셨습니까?				네링가	
QUEST_20200128_011476	Rueda de Laima	라이마의 물레					
QUEST_20200128_011477	Tú, humano elegido, tu vocación me ha traído aquí para ti.{nl}	여신의 선택을 받은 인간이여, 그대에게 부여된 사명이 나를 불렀다.{nl}				라이마의 물레	
QUEST_20200128_011478	Soy un vestigio del espíritu de Laima. {nl}Te estaba esperando.	나는 라이마 여신이 남겨놓은 정신의 잔재.{nl}오랜 시간을 기다렸다.				라이마의 물레	
QUEST_20200128_011479	Deberás demostrar tu valía antes de llevarte esta rueda contigo.{nl}	여신 라이마에게 선택받은 자여, 이 물레를 가져가기 위해서는 그대의 자격을 증명해야만 한다.{nl}				라이마의 물레	
QUEST_20200128_011480	La última revelación está aquí.{nl}	그리고 마지막 계시가 이곳에 있다.{nl}				라이마의 물레	
QUEST_20200128_011481	Te haré tres preguntas. {nl} Debes responder y no puedes revertir tus palabras. {nl} No debes decir mentiras.	나는 지금부터 세 가지 질문을 할 것이다.{nl}그대는 질문에 대답해야 하며, 번복할 수 없다.{nl}그러니 그대의 대답에는 거짓이 없어야 한다.				라이마의 물레	
QUEST_20200128_011482	Esta es la primera pregunta.{nl}¿Qué es eso que nunca podrás soportar?	첫 번째로 묻겠다.{nl}그대가 감당할 수 없는 것은 무엇인가?				라이마의 물레	
QUEST_20200128_011483	Esta es la segunda pregunta.{nl}¿Qué es lo que nunca podrás perdonar?	두 번째로 묻겠다.{nl}그대가 용서할 수 없는 것은 무엇인가?				라이마의 물레	
QUEST_20200128_011484	Esta es la tercera pregunta.{nl}¿Qué es lo que deseas evitar?	마지막으로 묻겠다.{nl}그대가 회피하고 싶은 것은 무엇인가?				라이마의 물레	
QUEST_20200128_011485	Tus respuestas han quedado grabadas en tu destino.	그대의 대답은 운명에 새겨졌다.				라이마의 물레	
QUEST_20200128_011486	Ven a hablar conmigo nuevamente cuando estés listo para someterte a la prueba.	그대에게 주어질 시련을 이겨낼 준비가 되었다면 다시 나에게 말하라.				라이마의 물레	
QUEST_20200128_011487	Serás probado como desees.{nl}	그대의 대답이 그대의 시련이 되리라.{nl}				라이마의 물레	
QUEST_20200128_011488	Para convertirte en el maestro de la rueca, debes estar preparado para superar todas las probabilidades.{nl}Castiga a aquellos que no pueden ser perdonados.{nl}Enfréntate a los miedos que llevas dentro.	물레의 주인이 되려는 자, 감당하지 못할 것은 없어야 하니 이겨내라.{nl}용서할 수 없는 것은 마땅히 처벌하라.{nl}그대가 가지고 있는 두려움에는 맞서라.				라이마의 물레	
QUEST_20200128_011489	Tú que has estado siguiendo tu vocación. Guarde su compromiso grabado aquí.	여신의 사명을 따라온 자여, 그대가 운명에 새긴 맹세를 이 자리에서 증명하라.				라이마의 물레	
QUEST_20200128_011490	Esta rueda debe pertenecer a quien cumple su promesa. De lo contrario, preferirías ver el mundo colapsar por la mano de Giltine.	맹세를 지키지 못할 자의 손에 물레가 넘어갈 바에는 길티네의 손에 세상이 종말하는 것이 나으리라.				라이마의 물레	
QUEST_20200128_011491	Has demostrado tu valía.{nl}	그대의 맹세가 진실함을 증명했다.{nl}				라이마의 물레	
QUEST_20200128_011492	La rueca es tuya como lo desea la Diosa Laima.	라이마 여신이 원하는 바에 따라, 그리고 운명의 여신이 의도하는 한 물레는 그대의 것이다.				라이마의 물레	
QUEST_20200128_011493	Esta es la clave del camino que has estado siguiendo.{nl}La última revelación.	그대가 따라온 사명의 열쇠.{nl}마지막 계시를 넘기겠다.				라이마의 물레	
QUEST_20200128_011494	Completarás tu promesa.	그대는 사명을 완수하라.				라이마의 물레	
QUEST_20200128_011495	Preparaste la preciosa revelación.{nl}Qué agradecido.	어머나.. 소중한 계시를 손수 준비해 주다니.{nl}정말 고마운 일이구나.				???	
QUEST_20200128_011496	La fortuna del Revelador es verdaderamente desaconsejable. {nl}Pero no puedo transmitir esto.	계시자의 행운이 참으로 질기구나.{nl}하지만 이 계시는 넘겨줄 수 없지.				마신 길티네	
QUEST_20200128_011497	Y el resto de revelaciones debes tenerlas, ¿no?	그리고 네 녀석이 나머지 계시도 가지고 있겠지?				마신 길티네	
QUEST_20200128_011498	Dios mío... ¿Qué vas a hacer ahora? {nl} ¡Se han quitado todas las revelaciones! {nl} La diosa Laima se sentirá decepcionada contigo.	어머나.. 이걸 어떡해요?{nl}고생하며 모은 계시가 모두 빼앗겨 버렸어요!{nl}라이마 여신께서 실망할 거예요!				마신 길티네	
QUEST_20200128_011499	No te preocupes, Revelator.{nl}I se los dará a Laima.{nl}	걱정마라 가엾은 계시자.{nl}이 계시들은 라이마에게 잘 전해주도록 하지.{nl}				마신 길티네	
QUEST_20200128_011500	Para Laima, que está destinada a regresar al Único.{nl}En cuanto a ti, un Revelador fallido debe morir.	물론.. 그분께 환원될 라이마에게 말이다.{nl}사명을 실패한 계시자는 죽어줘야겠구나.				마신 길티네	
QUEST_20200128_011501	Oh, Vaivora.{nl}Tú tomaste mi ataque...{nl}Dahlia sabía bien cómo era. Si se entera de esto, será un gran dolor para ella.{nl}	저런, 바이보라.{nl}내 공격을 맨몸으로 받아내다니.. {nl}달리아가 그 고통을 잘 알고 있었죠.. 달리아가 알게 된다면 마음 아파하겠어요.{nl}				마신 길티네	
QUEST_20200128_011502	Es incomprensible que te dediques a un ser humano tan trivial.	하찮은 인간 따위에게 자신의 몸을 바치다니 정말 이해할 수 없는 행동이군요.				마신 길티네	
QUEST_20200128_011503	Ahora que todas estas señales han llegado a mis manos, el plan de Laima ha fracasado.{nl}¿Quién podrá detenerme ahora?	이 모든 계시가 내 손에 들어온 지금, 라이마의 계획은 무산되었어요.{nl}이제 누가 나를 막을 수 있죠?{nl}				마신 길티네	
QUEST_20200128_011504	Tomaré tu alma con el Revelador.	계시자와 함께 당신들의 영혼은 여기서 가져가도록 하죠.				마신 길티네	
QUEST_20200128_011505	Afortunadamente, la rueca ha cumplido su deber.{nl}	다행히 물레가 때맞춰 자신의 소임을 해냈습니다.{nl}				네링가	
QUEST_20200128_011506	Hemos llegado aquí con la protección de la rueca. {nl} Por ahora podremos escondernos de Giltine.	우린 물레의 보호를 받아 이 이공간으로 왔습니다.{nl}당장은 길티네로 부터 숨을 수 있을 것입니다.				네링가	
QUEST_20200128_011507	Giltine ha obtenido todas las Revelaciones.{nl}Ahora comenzará el ritual para devolver a la Diosa Laima.{nl}	길티네는 모든 계시를 손에 넣었습니다.{nl}이걸로 그녀는 라이마 여신의 환원 의식을 시작할 것입니다.{nl}				네링가	
QUEST_20200128_011508	Debemos llegar al lugar de su profecía en el tiempo exacto profetizado.{nl}Si no, todo por lo que hemos trabajado se arruinará.	라이마 여신이 있는 곳에 라이마 여신이 예지한 때에 맞춰 도착해야 합니다.{nl}그러지 못한다면 지금까지 해왔던 모든 일이 소용이 없게 될 것입니다.				네링가	
QUEST_20200128_011509	Ahora, dirígete al Camino de la Desición.{nl}La Diosa Laima y Giltine estarán allí.{nl}Recupera la revelación de Giltine y devuélvela a la Diosa Laima.	당신은 이제 종언의 길로 가십시오.{nl}라이마 여신과 길티네는 그곳에 있을 겁니다.{nl}길티네로부터 계시를 되찾고 라이마 여신에게 그 힘을 돌려주어야 합니다.				네링가	
QUEST_20200128_011510	Diosa Austeja, te ruego que lleves a la Diosa Vaivora y Medeina a un lugar seguro.{nl}Y rastrea la Raíz del Árbol Divino.	아우스테야 여신이시여, 바이보라 여신과 메데이나 여신을 안전한 곳으로 옮겨주십시오.{nl}그리고 도난당한 신수의 뿌리를 추적해주십시오.				네링가	
QUEST_20200128_011511	Sin embargo, Giltine es fuerte ahora. {nl}No podrás manejarlo tú solo.	하지만 지금의 길티네는 막강합니다.{nl}계시자님 혼자서는 감당할 수 없을 거예요.				여신 아우스테야	
QUEST_20200128_011512	No tienes que preocuparte.{nl}La profecía de la Diosa Laima aún continúa.	걱정하실 필요 없습니다.{nl}라이마 여신의 예지는 아직 이어지고 있습니다.				네링가	
QUEST_20200128_011513	Ya veo.{nl}	그렇군요.{nl}				딥디르비 아돌파스	
QUEST_20200128_011514	Neringa, entiendo tus palabras. {nl} No nos permitimos otro error. {nl} Contaré con Laima.	네링가, 그대의 말을 이해했습니다.{nl}이전의 실수를 되풀이할 수는 없지요.{nl}라이마를 믿겠습니다.				여신 아우스테야	
QUEST_20200128_011515	Revelador, Giltine será más fuerte que cualquier enemigo con el que hayas luchado. {nl}Es posible que no puedas derrotar a Giltine, pero debe haber una manera de prevenir la crisis.	계시자여, 길티네는 그동안 그대가 싸워왔던 어떤 적보다 강할 것입니다.{nl}그대가 길티네를 이길 수는 없겠지만, 위기를 막을 수 있는 방법이 분명히 있을 겁니다.				여신 바이보라	
QUEST_20200128_011516	Saldré.{nl}	그럼 이곳에서 나가도록 하겠습니다.{nl}				네링가	
QUEST_20200128_011517	Iré contigo a las Ruinas de Rinksmas.	저 네링가는 당신과 함께 링크스마스 폐허로 이동하겠습니다.				네링가	
QUEST_20200128_011518	Que el mundo sea salvo por tu poder.	부디 그대의 힘으로 세상이 구원받을 수 있기를..				여신 아우스테야	
QUEST_20200128_011519	Ahora hemos llegado a las Ruinas de Rinksmas, que conducen al Camino de la Muerte.{nl}Un demonio aún más poderoso intentará detenerte.{nl}Pero superarás todos los obstáculos y cumplirás tu tarea.	이제 종언의 길로 이어져 있는 링크스마스 폐허에 도착했습니다.{nl}라이마 여신께서 전해주었기를, 더 강력한 마족이 당신을 가로막을 것입니다.{nl}하지만 당신은 이겨내고 사명을 완수하십시오.				네링가	
QUEST_20200128_011520	Primero, derrota a los demonios en tu camino.	우선 당신의 앞을 가로막는 마족들을 처리하십시오.				네링가	
QUEST_20200128_011521	Te moverás como la Diosa Laima ha profetizado bajo mi guía.	당신은 저 네링가의 인도에 따라 라이마 여신의 예지대로 나아갈 것입니다.				네링가	
QUEST_20200128_011522	El peligro aumentará a medida que te acerques a Giltine.{nl}Sabrás que estás en el camino correcto cuando el camino se vuelva más peligroso.	당신이 길티네에게 가까워질수록 위기가 반복될 것입니다.{nl}그것이 당신이 똑바로 가고 있다는 뜻입니다.				네링가	
QUEST_20200128_011523	La gente se ha reunido para luchar en la Plaza Central después de enterarse de su difícil situación.{nl}	이곳에는 당신의 소식을 듣고 싸우러 온 인간들이 중앙 광장을 지키고 있습니다.{nl}				네링가	
QUEST_20200128_011524	Debemos dirigirnos hacia el Camino de la Muerte pero primero tenemos una profecía que cumplir.{nl}Ayuda a los humanos que luchan aquí.{nl}Protege la Plaza Central de los demonios.	우리는 종언의 길로 가야 하지만, 여기서 이루어야 할 라이마 여신의 예지가 있습니다.{nl}당신은 여기서 싸우고 있는 인간들을 도우십시오.{nl}마족들로부터 중앙 광장을 수호해야 합니다.				네링가	
QUEST_20200128_011525	Dievdirbys Adolfas	딥디르비 아돌파스					
QUEST_20200128_011526	He oído hablar de ti.{nl}Recibimos órdenes de Tesla, el Maestro Dievdirbys.	당신의 이야기는 많이 들었습니다.{nl}우리는 딥디르비 마스터이신 테슬라님의 명령을 받고 왔습니다.{nl}				딥디르비 아돌파스	
QUEST_20200128_011527	Aún no sé cuál sería el asunto que estamos a punto de enfrentar. {nl} ¿Podrías contarme la situación?	도착한 지 얼마 되지 않아 아직 정황을 잘 모릅니다.{nl}혹시 어떤 상황이 어떤지 알려 주실 수 있습니까?				딥디르비 아돌파스	
QUEST_20200128_011528	Encontré un Carve Owl en mi camino.{nl}Supongo que mis colegas que llegaron allí los prepararon.{nl}	오는 길에 부엉이 조각상을 발견했습니다.{nl}아마도 먼저 도착한 동료들이 세워 놓은 거로 보입니다.{nl}				딥디르비 아돌파스	
QUEST_20200128_011529	Pero no pude encontrar ningún otro signo de ellos.{nl}Quizás...	하지만 동료는 보이지 않더군요.{nl}아마도..				딥디르비 아돌파스	
QUEST_20200128_011530	No es momento para estar triste.{nl}Repararemos los Carve Owls de ahora en adelante.	지금은 슬퍼할 때가 아니겠군요.{nl}저희는 지금부터 부엉이 조각상을 보수하겠습니다.{nl}				딥디르비 아돌파스	
QUEST_20200128_011531	Según las noticias, hay Demon Idols que emiten energía maligna por todas las ruinas de Rinksmas.{nl}	하지만 전달 받은 소식에 따르면, 링크스마스 폐허 곳곳에 부정한 기운을 방출하는 마족의 우상이 있다더군요.{nl}				딥디르비 아돌파스	
QUEST_20200128_011532	Necesitamos más tiempo para arreglar los Carve Owls.{nl}Si puedes cuidar los Demon Idols y debilitar el poder de los demonios, podemos ganar más tiempo para nuestras tareas.	저희가 부엉이 조각상을 고치는 데는 시간이 필요합니다.{nl}계시자님께서 마족의 우상을 처리해 마족의 힘을 약하게 만들어주신다면 충분한 시간을 벌 수 있을 겁니다.				딥디르비 아돌파스	
QUEST_20200128_011533	Escucha sus peticiones.{nl}Debes resolver los problemas que enfrentan estas personas antes de enfrentarte a Giltine.{nl}	그들의 부탁을 받아주십시오.{nl}당신은 길티네와의 결전에 앞서 이곳의 문제를 해결해야 합니다.{nl}				네링가	
QUEST_20200128_011534	Como he dicho, debemos llegar a donde está la Diosa Laima en el momento exacto en que la Diosa ha profetizado. {nl}Resolver el conflicto aquí te ayudará en tu camino.	앞서 말했듯이 우리는 반드시 라이마 여신이 예지한 때에 맞춰서 라이마 여신에게 도착해야 합니다.{nl}그리고 이곳의 일을 해결하는 것도 당신에게 보탬이 될 것입니다.				네링가	
QUEST_20200128_011535	Sé que aquí está el Demon Idol.{nl}Puedo sentir su siniestro poder desde aquí.{nl}	마족의 우상이 있는 위치는 저 네링가가 알고 있습니다.{nl}우상의 기운이 여기까지 느껴질 정도입니다.{nl}				네링가	
QUEST_20200128_011536	Primero destruye los ídolos cerca de la catedral junto al río. {nl} Los demonios tomarán represalias, así que prepárate.	먼저 강변 성당에 있는 마족의 우상을 파괴하십시오.{nl}적의 저항이 만만치는 않을 것이니 주의하십시오.				네링가	
QUEST_20200128_011537	Llegaremos al momento exacto profetizado por la Diosa Laima. {nl} Centrémonos en los problemas que nos ocupan por ahora.	저 네링가와 당신은 라이마 여신께 예지된 때에 맞춰 도착할 것입니다.{nl}당신은 이곳에서의 일을 해결하는 데에 집중하십시오.				네링가	
QUEST_20200128_011538	Puedo sentir que el poder del ídolo está disminuyendo. {nl} Ahora vayamos al terreno baldío.	우상의 힘이 약해지는 것이 느껴집니다.{nl}다음은 인적 없는 공터입니다.				네링가	
QUEST_20200128_011539	Los demonios también deben sentir que su poder ha disminuido.{nl}	이제 마족들은 자신들을 지탱해온 힘이 약해졌다는 사실을 느끼고 있을 겁니다. {nl}				네링가	
QUEST_20200128_011540	Los demonios en el terreno baldío sintieron una amenaza y vincularon sus fuerzas vitales a los ídolos demoníacos. {nl} El hechizo no se levantará a menos que los demonios que se han vinculado a los ídolos sean derrotados. {nl} Podrás identificar a los demonios a través de los ídolos demoníacos.	인적 없는 공터에 있는 마족들은 위기를 느끼고 자신들의 생명을 마족의 우상과 연결했습니다. {nl}강력한 주술의 힘은 생명이 연결된 마족을 처치하지 않는 이상 파괴되지 않을 것입니다.{nl}당신은 우상을 통해 생명이 연결된 마족을 찾을 수 있을 것입니다.				네링가	
QUEST_20200128_011541	Estas personas han venido a ayudarte a pesar del peligro. {nl}Lasegurémonos de que se cumpla la profecía.	당신을 돕겠다고 마족의 소굴 한 가운데로 들어온 인간들입니다.{nl}라이마 여신의 예지가 흐트러질 일이 없도록 하십시오.				네링가	
QUEST_20200128_011542	Los ídolos se han debilitado.{nl}	우상의 힘이 더 약해졌습니다. {nl}				네링가	
QUEST_20200128_011543	Los ídolos restantes se encuentran en la colina cerca de las ruinas.	이제 남은 것은 폐허 언덕길에 있습니다.				네링가	
QUEST_20200128_011544	El demonio que lidera a todos los demás demonios del área espera en la colina.{nl}	이 지역의 마족들을 통솔하고 있는 강력한 마족이 폐허 언덕길에 있습니다. {nl}				네링가	
